Acronym,RGB Triplet,RGB Triplet,red,green,blue,Hexidecimal,Graph ID,Graph Order,ID,ID16,Name,Structure ID Path,Structure ID Path16,Parent ID,Parent ID16,Source,,,
BSTLS,"[245,133,58]","245,133,58",245,133,58,F5853A,17,241,15801,15801,"bed nucleus of the stria terminalis, lateroseptal division",/15564/15565/15566/15567/15738/15739/15750/15751/15784/15797/15799/15800/15801/,/15564/15565/15566/15567/15738/15739/15750/15751/15784/15797/15799/15800/15801/,15800,15800,Allen,,,
BSTLi,"[245,133,58]","245,133,58",245,133,58,F5853A,17,242,15802,15802,"nucleus of the stria terminalis, lateral division, intermediate part",/15564/15565/15566/15567/15738/15739/15750/15751/15784/15797/15799/15800/15801/15802/,/15564/15565/15566/15567/15738/15739/15750/15751/15784/15797/15799/15800/15801/15802/,15801,15801,Allen,,,
SePalCo,"[245,133,58]","245,133,58",245,133,58,F5853A,17,244,15804,15804,septopallidal core nucleus,/15564/15565/15566/15567/15738/15739/15750/15751/15784/15797/15799/15803/15804/,/15564/15565/15566/15567/15738/15739/15750/15751/15784/15797/15799/15803/15804/,15803,15803,Allen,,,
SePalSh,"[245,133,58]","245,133,58",245,133,58,F5853A,17,245,15805,15805,septopallidal shell area,/15564/15565/15566/15567/15738/15739/15750/15751/15784/15797/15799/15803/15805/,/15564/15565/15566/15567/15738/15739/15750/15751/15784/15797/15799/15803/15805/,15803,15803,Allen,,,
TuSePal,"[245,133,58]","245,133,58",245,133,58,F5853A,17,247,15807,15807,septopallidal part of the olfactory tuberculum,/15564/15565/15566/15567/15738/15739/15750/15751/15784/15797/15799/15806/15807/,/15564/15565/15566/15567/15738/15739/15750/15751/15784/15797/15799/15806/15807/,15806,15806,Allen,,,
ICjM,"[245,133,58]","245,133,58",245,133,58,F5853A,17,248,15808,15808,island of Calleja major,/15564/15565/15566/15567/15738/15739/15750/15751/15784/15797/15799/15806/15808/,/15564/15565/15566/15567/15738/15739/15750/15751/15784/15797/15799/15806/15808/,15806,15806,Allen,,,
SeStrv,"[243,115,33]","243,115,33",243,115,33,F37321,17,250,15810,15810,ventricular zone of SeStr,/15564/15565/15566/15567/15738/15739/15750/15751/15784/15809/15810/,/15564/15565/15566/15567/15738/15739/15750/15751/15784/15809/15810/,15809,15809,Allen,,,
SeStrm,"[245,133,58]","245,133,58",245,133,58,F5853A,17,251,15811,15811,mantle zone of SeStr,/15564/15565/15566/15567/15738/15739/15750/15751/15784/15809/15811/,/15564/15565/15566/15567/15738/15739/15750/15751/15784/15809/15811/,15809,15809,Allen,,,
SeStrp,"[245,133,58]","245,133,58",245,133,58,F5853A,17,252,15812,15812,periventricular stratum of SeStr,/15564/15565/15566/15567/15738/15739/15750/15751/15784/15809/15811/15812/,/15564/15565/15566/15567/15738/15739/15750/15751/15784/15809/15811/15812/,15811,15811,Allen,,,
SeStri,"[245,133,58]","245,133,58",245,133,58,F5853A,17,254,15814,15814,intermediate stratum of SeStr,/15564/15565/15566/15567/15738/15739/15750/15751/15784/15809/15811/15814/,/15564/15565/15566/15567/15738/15739/15750/15751/15784/15809/15811/15814/,15811,15811,Allen,,,
SeStrs,"[245,133,58]","245,133,58",245,133,58,F5853A,17,256,15816,15816,superficial stratum of SeStr,/15564/15565/15566/15567/15738/15739/15750/15751/15784/15809/15811/15816/,/15564/15565/15566/15567/15738/15739/15750/15751/15784/15809/15811/15816/,15811,15811,Allen,,,
AcbCo,"[245,133,58]","245,133,58",245,133,58,F5853A,17,253,15813,15813,"accumbens nucleus, core domain",/15564/15565/15566/15567/15738/15739/15750/15751/15784/15809/15811/15812/15813/,/15564/15565/15566/15567/15738/15739/15750/15751/15784/15809/15811/15812/15813/,15812,15812,Allen,,,
AcbSh,"[245,133,58]","245,133,58",245,133,58,F5853A,17,255,15815,15815,"accumbens nucleus, shell domain",/15564/15565/15566/15567/15738/15739/15750/15751/15784/15809/15811/15814/15815/,/15564/15565/15566/15567/15738/15739/15750/15751/15784/15809/15811/15814/15815/,15814,15814,Allen,,,
TuSeStr,"[245,133,58]","245,133,58",245,133,58,F5853A,17,257,15817,15817,septostriatal part of the olfactory tuberculum,/15564/15565/15566/15567/15738/15739/15750/15751/15784/15809/15811/15816/15817/,/15564/15565/15566/15567/15738/15739/15750/15751/15784/15809/15811/15816/15817/,15816,15816,Allen,,,
CSPallv,"[229,135,36]","229,135,36",229,135,36,E58724,17,259,111220538,20538,ventricular zone of CSPall,/15564/15565/15566/15567/15738/15739/15750/15751/15818/111220538/,/15564/15565/15566/15567/15738/15739/15750/15751/15818/20538/,15818,15818,Allen,,,
CSPallm,"[234,158,78]","234,158,78",234,158,78,EA9E4E,17,260,111220540,20540,mantle zone of CSPall,/15564/15565/15566/15567/15738/15739/15750/15751/15818/111220540/,/15564/15565/15566/15567/15738/15739/15750/15751/15818/20540/,15818,15818,Allen,,,
Dg,"[229,135,36]","229,135,36",229,135,36,E58724,17,264,15819,15819,diagonal domain,/15564/15565/15566/15567/15738/15739/15750/15751/15818/15819/,/15564/15565/15566/15567/15738/15739/15750/15751/15818/15819/,15818,15818,Allen,,,
Pal,"[229,135,36]","229,135,36",229,135,36,E58724,17,279,15834,15834,pallidum (globus pallidus complex),/15564/15565/15566/15567/15738/15739/15750/15751/15818/15834/,/15564/15565/15566/15567/15738/15739/15750/15751/15818/15834/,15818,15818,Allen,,,
Str,"[229,135,36]","229,135,36",229,135,36,E58724,17,296,15851,15851,striatum (corpus striatum),/15564/15565/15566/15567/15738/15739/15750/15751/15818/15851/,/15564/15565/15566/15567/15738/15739/15750/15751/15818/15851/,15818,15818,Allen,,,
Dgv,"[229,135,36]","229,135,36",229,135,36,E58724,17,265,15820,15820,ventricular zone of Dg,/15564/15565/15566/15567/15738/15739/15750/15751/15818/15819/15820/,/15564/15565/15566/15567/15738/15739/15750/15751/15818/15819/15820/,15819,15819,Allen,,,
Dgm,"[234,158,78]","234,158,78",234,158,78,EA9E4E,17,266,15821,15821,mantle zone of Dg,/15564/15565/15566/15567/15738/15739/15750/15751/15818/15819/15821/,/15564/15565/15566/15567/15738/15739/15750/15751/15818/15819/15821/,15819,15819,Allen,,,
Dgp,"[234,158,78]","234,158,78",234,158,78,EA9E4E,17,267,15822,15822,periventricular stratum of Dg,/15564/15565/15566/15567/15738/15739/15750/15751/15818/15819/15821/15822/,/15564/15565/15566/15567/15738/15739/15750/15751/15818/15819/15821/15822/,15821,15821,Allen,,,
Dgi,"[234,158,78]","234,158,78",234,158,78,EA9E4E,17,273,15828,15828,intermediate stratum of Dg,/15564/15565/15566/15567/15738/15739/15750/15751/15818/15819/15821/15828/,/15564/15565/15566/15567/15738/15739/15750/15751/15818/15819/15821/15828/,15821,15821,Allen,,,
Dgs,"[234,158,78]","234,158,78",234,158,78,EA9E4E,17,276,15831,15831,superficial stratum of Dg,/15564/15565/15566/15567/15738/15739/15750/15751/15818/15819/15821/15831/,/15564/15565/15566/15567/15738/15739/15750/15751/15818/15819/15821/15831/,15821,15821,Allen,,,
BSTMC,"[234,158,78]","234,158,78",234,158,78,EA9E4E,17,268,15823,15823,"bed nucleus of the stria terminalis, mediocentral division",/15564/15565/15566/15567/15738/15739/15750/15751/15818/15819/15821/15822/15823/,/15564/15565/15566/15567/15738/15739/15750/15751/15818/15819/15821/15822/15823/,15822,15822,Allen,,,
EADg,"[234,158,78]","234,158,78",234,158,78,EA9E4E,17,272,15827,15827,"extended amygdala, diagonal part",/15564/15565/15566/15567/15738/15739/15750/15751/15818/15819/15821/15822/15827/,/15564/15565/15566/15567/15738/15739/15750/15751/15818/15819/15821/15822/15827/,15822,15822,Allen,,,
BSTMpm,"[234,158,78]","234,158,78",234,158,78,EA9E4E,17,269,15824,15824,posteromedial part of BSTMC,/15564/15565/15566/15567/15738/15739/15750/15751/15818/15819/15821/15822/15823/15824/,/15564/15565/15566/15567/15738/15739/15750/15751/15818/15819/15821/15822/15823/15824/,15823,15823,Allen,,,
BSTMpi,"[234,158,78]","234,158,78",234,158,78,EA9E4E,17,270,15825,15825,posterointermediate part of BSTMC,/15564/15565/15566/15567/15738/15739/15750/15751/15818/15819/15821/15822/15823/15825/,/15564/15565/15566/15567/15738/15739/15750/15751/15818/15819/15821/15822/15823/15825/,15823,15823,Allen,,,
BSTMpl,"[234,158,78]","234,158,78",234,158,78,EA9E4E,17,271,15826,15826,posterolateral part of BSTMC,/15564/15565/15566/15567/15738/15739/15750/15751/15818/15819/15821/15822/15823/15826/,/15564/15565/15566/15567/15738/15739/15750/15751/15818/15819/15821/15822/15823/15826/,15823,15823,Allen,,,
SIB,"[234,158,78]","234,158,78",234,158,78,EA9E4E,17,274,15829,15829,substantia innominata/basal nucleus,/15564/15565/15566/15567/15738/15739/15750/15751/15818/15819/15821/15828/15829/,/15564/15565/15566/15567/15738/15739/15750/15751/15818/15819/15821/15828/15829/,15828,15828,Allen,,,
IPal,"[234,158,78]","234,158,78",234,158,78,EA9E4E,17,275,15830,15830,internal globus pallidus,/15564/15565/15566/15567/15738/15739/15750/15751/15818/15819/15821/15828/15830/,/15564/15565/15566/15567/15738/15739/15750/15751/15818/15819/15821/15828/15830/,15828,15828,Allen,,,
HDB,"[234,158,78]","234,158,78",234,158,78,EA9E4E,17,277,15832,15832,horizontal nucleus of the diagonal band,/15564/15565/15566/15567/15738/15739/15750/15751/15818/15819/15821/15831/15832/,/15564/15565/15566/15567/15738/15739/15750/15751/15818/15819/15821/15831/15832/,15831,15831,Allen,,,
MCDB,"[234,158,78]","234,158,78",234,158,78,EA9E4E,17,278,15833,15833,magnocellular diagonal band nucleus,/15564/15565/15566/15567/15738/15739/15750/15751/15818/15819/15821/15831/15833/,/15564/15565/15566/15567/15738/15739/15750/15751/15818/15819/15821/15831/15833/,15831,15831,Allen,,,
Palv,"[229,135,36]","229,135,36",229,135,36,E58724,17,280,15835,15835,ventricular zone of Pal,/15564/15565/15566/15567/15738/15739/15750/15751/15818/15834/15835/,/15564/15565/15566/15567/15738/15739/15750/15751/15818/15834/15835/,15834,15834,Allen,,,
Palm,"[234,158,78]","234,158,78",234,158,78,EA9E4E,17,281,15836,15836,mantle zone of Pal,/15564/15565/15566/15567/15738/15739/15750/15751/15818/15834/15836/,/15564/15565/15566/15567/15738/15739/15750/15751/15818/15834/15836/,15834,15834,Allen,,,
Palp,"[234,158,78]","234,158,78",234,158,78,EA9E4E,17,282,15837,15837,periventricular stratum of Pal,/15564/15565/15566/15567/15738/15739/15750/15751/15818/15834/15836/15837/,/15564/15565/15566/15567/15738/15739/15750/15751/15818/15834/15836/15837/,15836,15836,Allen,,,
Pali,"[234,158,78]","234,158,78",234,158,78,EA9E4E,17,287,15842,15842,intermediate stratum of Pal,/15564/15565/15566/15567/15738/15739/15750/15751/15818/15834/15836/15842/,/15564/15565/15566/15567/15738/15739/15750/15751/15818/15834/15836/15842/,15836,15836,Allen,,,
Pals,"[234,158,78]","234,158,78",234,158,78,EA9E4E,17,290,15845,15845,superficial stratum of Pal,/15564/15565/15566/15567/15738/15739/15750/15751/15818/15834/15836/15845/,/15564/15565/15566/15567/15738/15739/15750/15751/15818/15834/15836/15845/,15836,15836,Allen,,,
BSTLC,"[234,158,78]","234,158,78",234,158,78,EA9E4E,17,283,15838,15838,"bed nucleus of the stria terminalis, laterocentral division",/15564/15565/15566/15567/15738/15739/15750/15751/15818/15834/15836/15837/15838/,/15564/15565/15566/15567/15738/15739/15750/15751/15818/15834/15836/15837/15838/,15837,15837,Allen,,,
BSTLp,"[234,158,78]","234,158,78",234,158,78,EA9E4E,17,284,15839,15839,posterior part of BSTLC,/15564/15565/15566/15567/15738/15739/15750/15751/15818/15834/15836/15837/15838/15839/,/15564/15565/15566/15567/15738/15739/15750/15751/15818/15834/15836/15837/15838/15839/,15838,15838,Allen,,,
BSTLj,"[234,158,78]","234,158,78",234,158,78,EA9E4E,17,285,15840,15840,juxtacapsular part of BSTLC,/15564/15565/15566/15567/15738/15739/15750/15751/15818/15834/15836/15837/15838/15840/,/15564/15565/15566/15567/15738/15739/15750/15751/15818/15834/15836/15837/15838/15840/,15838,15838,Allen,,,
BSTLd,"[234,158,78]","234,158,78",234,158,78,EA9E4E,17,286,15841,15841,dorsal part of BSTLC,/15564/15565/15566/15567/15738/15739/15750/15751/15818/15834/15836/15837/15838/15841/,/15564/15565/15566/15567/15738/15739/15750/15751/15818/15834/15836/15837/15838/15841/,15838,15838,Allen,,,
EPal,"[234,158,78]","234,158,78",234,158,78,EA9E4E,17,288,15843,15843,external globus pallidum,/15564/15565/15566/15567/15738/15739/15750/15751/15818/15834/15836/15842/15843/,/15564/15565/15566/15567/15738/15739/15750/15751/15818/15834/15836/15842/15843/,15842,15842,Allen,,,
VPal,"[234,158,78]","234,158,78",234,158,78,EA9E4E,17,289,15844,15844,ventral pallidum,/15564/15565/15566/15567/15738/15739/15750/15751/15818/15834/15836/15842/15844/,/15564/15565/15566/15567/15738/15739/15750/15751/15818/15834/15836/15842/15844/,15842,15842,Allen,,,
TuPal,"[234,158,78]","234,158,78",234,158,78,EA9E4E,17,291,15846,15846,pallidal part of olfactory tuberculum,/15564/15565/15566/15567/15738/15739/15750/15751/15818/15834/15836/15845/15846/,/15564/15565/15566/15567/15738/15739/15750/15751/15818/15834/15836/15845/15846/,15845,15845,Allen,,,
ICjPal,"[234,158,78]","234,158,78",234,158,78,EA9E4E,17,295,15850,15850,pallidal islands of Calleja,/15564/15565/15566/15567/15738/15739/15750/15751/15818/15834/15836/15845/15850/,/15564/15565/15566/15567/15738/15739/15750/15751/15818/15834/15836/15845/15850/,15845,15845,Allen,,,
TuPal1,"[234,158,78]","234,158,78",234,158,78,EA9E4E,17,292,15847,15847,plexiform layer of TuPal,/15564/15565/15566/15567/15738/15739/15750/15751/15818/15834/15836/15845/15846/15847/,/15564/15565/15566/15567/15738/15739/15750/15751/15818/15834/15836/15845/15846/15847/,15846,15846,Allen,,,
TuPal2,"[234,158,78]","234,158,78",234,158,78,EA9E4E,17,293,15848,15848,corticoid layer of TuPal,/15564/15565/15566/15567/15738/15739/15750/15751/15818/15834/15836/15845/15846/15848/,/15564/15565/15566/15567/15738/15739/15750/15751/15818/15834/15836/15845/15846/15848/,15846,15846,Allen,,,
TuPal3,"[234,158,78]","234,158,78",234,158,78,EA9E4E,17,294,15849,15849,polymorph layer of TuPal,/15564/15565/15566/15567/15738/15739/15750/15751/15818/15834/15836/15845/15846/15849/,/15564/15565/15566/15567/15738/15739/15750/15751/15818/15834/15836/15845/15846/15849/,15846,15846,Allen,,,
Strv,"[229,135,36]","229,135,36",229,135,36,E58724,17,297,15852,15852,ventricular zone of Str,/15564/15565/15566/15567/15738/15739/15750/15751/15818/15851/15852/,/15564/15565/15566/15567/15738/15739/15750/15751/15818/15851/15852/,15851,15851,Allen,,,
Strm,"[234,158,78]","234,158,78",234,158,78,EA9E4E,17,298,15853,15853,mantle zone of Str,/15564/15565/15566/15567/15738/15739/15750/15751/15818/15851/15853/,/15564/15565/15566/15567/15738/15739/15750/15751/15818/15851/15853/,15851,15851,Allen,,,
Strp,"[234,158,78]","234,158,78",234,158,78,EA9E4E,17,299,15854,15854,periventricular stratum of Str,/15564/15565/15566/15567/15738/15739/15750/15751/15818/15851/15853/15854/,/15564/15565/15566/15567/15738/15739/15750/15751/15818/15851/15853/15854/,15853,15853,Allen,,,
Stri,"[234,158,78]","234,158,78",234,158,78,EA9E4E,17,301,15856,15856,intermediate stratum of Str,/15564/15565/15566/15567/15738/15739/15750/15751/15818/15851/15853/15856/,/15564/15565/15566/15567/15738/15739/15750/15751/15818/15851/15853/15856/,15853,15853,Allen,,,
Strs,"[234,158,78]","234,158,78",234,158,78,EA9E4E,17,306,15861,15861,superficial stratum of Str,/15564/15565/15566/15567/15738/15739/15750/15751/15818/15851/15853/15861/,/15564/15565/15566/15567/15738/15739/15750/15751/15818/15851/15853/15861/,15853,15853,Allen,,,
Cau,"[234,158,78]","234,158,78",234,158,78,EA9E4E,17,300,15855,15855,caudate nucleus,/15564/15565/15566/15567/15738/15739/15750/15751/15818/15851/15853/15854/15855/,/15564/15565/15566/15567/15738/15739/15750/15751/15818/15851/15853/15854/15855/,15854,15854,Allen,,,
Put,"[234,158,78]","234,158,78",234,158,78,EA9E4E,17,302,15857,15857,putamen,/15564/15565/15566/15567/15738/15739/15750/15751/15818/15851/15853/15856/15857/,/15564/15565/15566/15567/15738/15739/15750/15751/15818/15851/15853/15856/15857/,15856,15856,Allen,,,
VStr,"[234,158,78]","234,158,78",234,158,78,EA9E4E,17,303,15858,15858,ventral striatum,/15564/15565/15566/15567/15738/15739/15750/15751/15818/15851/15853/15856/15858/,/15564/15565/15566/15567/15738/15739/15750/15751/15818/15851/15853/15856/15858/,15856,15856,Allen,,,
IPAC,"[234,158,78]","234,158,78",234,158,78,EA9E4E,17,304,15859,15859,interstitial nucleus of the posterior limb of the anterior commissure,/15564/15565/15566/15567/15738/15739/15750/15751/15818/15851/15853/15856/15859/,/15564/15565/15566/15567/15738/15739/15750/15751/15818/15851/15853/15856/15859/,15856,15856,Allen,,,
LSS,"[234,158,78]","234,158,78",234,158,78,EA9E4E,17,305,15860,15860,laterostriatal stripe,/15564/15565/15566/15567/15738/15739/15750/15751/15818/15851/15853/15856/15860/,/15564/15565/15566/15567/15738/15739/15750/15751/15818/15851/15853/15856/15860/,15856,15856,Allen,,,
TuStr,"[234,158,78]","234,158,78",234,158,78,EA9E4E,17,307,15862,15862,striatal part of olfactory tuberculum,/15564/15565/15566/15567/15738/15739/15750/15751/15818/15851/15853/15861/15862/,/15564/15565/15566/15567/15738/15739/15750/15751/15818/15851/15853/15861/15862/,15861,15861,Allen,,,
ICjStr,"[234,158,78]","234,158,78",234,158,78,EA9E4E,17,311,15866,15866,striatal islands of Calleja,/15564/15565/15566/15567/15738/15739/15750/15751/15818/15851/15853/15861/15866/,/15564/15565/15566/15567/15738/15739/15750/15751/15818/15851/15853/15861/15866/,15861,15861,Allen,,,
TuStr1,"[234,158,78]","234,158,78",234,158,78,EA9E4E,17,308,15863,15863,plexiform layer of TuStr,/15564/15565/15566/15567/15738/15739/15750/15751/15818/15851/15853/15861/15862/15863/,/15564/15565/15566/15567/15738/15739/15750/15751/15818/15851/15853/15861/15862/15863/,15862,15862,Allen,,,
TuStr2,"[234,158,78]","234,158,78",234,158,78,EA9E4E,17,309,15864,15864,corticoid layer of TuStr,/15564/15565/15566/15567/15738/15739/15750/15751/15818/15851/15853/15861/15862/15864/,/15564/15565/15566/15567/15738/15739/15750/15751/15818/15851/15853/15861/15862/15864/,15862,15862,Allen,,,
TuStr3,"[234,158,78]","234,158,78",234,158,78,EA9E4E,17,310,15865,15865,polymorph layer of TuStr,/15564/15565/15566/15567/15738/15739/15750/15751/15818/15851/15853/15861/15862/15865/,/15564/15565/15566/15567/15738/15739/15750/15751/15818/15851/15853/15861/15862/15865/,15862,15862,Allen,,,
AStr,"[230,167,35]","230,167,35",230,167,35,E6A723,17,313,15868,15868,striatal amygdala,/15564/15565/15566/15567/15738/15739/15750/15751/15867/15868/,/15564/15565/15566/15567/15738/15739/15750/15751/15867/15868/,15867,15867,Allen,,,
APal,"[230,167,35]","230,167,35",230,167,35,E6A723,17,323,15878,15878,pallidal amygdala,/15564/15565/15566/15567/15738/15739/15750/15751/15867/15878/,/15564/15565/15566/15567/15738/15739/15750/15751/15867/15878/,15867,15867,Allen,,,
ADg,"[230,167,35]","230,167,35",230,167,35,E6A723,17,331,15886,15886,diagonal amygdala,/15564/15565/15566/15567/15738/15739/15750/15751/15867/15886/,/15564/15565/15566/15567/15738/15739/15750/15751/15867/15886/,15867,15867,Allen,,,
AHy,"[230,167,35]","230,167,35",230,167,35,E6A723,17,338,15893,15893,hypothalamic amygdala,/15564/15565/15566/15567/15738/15739/15750/15751/15867/15893/,/15564/15565/15566/15567/15738/15739/15750/15751/15867/15893/,15867,15867,Allen,,,
AStrv,"[230,167,35]","230,167,35",230,167,35,E6A723,17,314,15869,15869,ventricular zone of AStr,/15564/15565/15566/15567/15738/15739/15750/15751/15867/15868/15869/,/15564/15565/15566/15567/15738/15739/15750/15751/15867/15868/15869/,15868,15868,Allen,,,
AStrm,"[234,180,66]","234,180,66",234,180,66,EAB442,17,315,15870,15870,mantle zone of AStr,/15564/15565/15566/15567/15738/15739/15750/15751/15867/15868/15870/,/15564/15565/15566/15567/15738/15739/15750/15751/15867/15868/15870/,15868,15868,Allen,,,
AStrp,"[234,180,66]","234,180,66",234,180,66,EAB442,17,316,15871,15871,periventricular stratum of AStr,/15564/15565/15566/15567/15738/15739/15750/15751/15867/15868/15870/15871/,/15564/15565/15566/15567/15738/15739/15750/15751/15867/15868/15870/15871/,15870,15870,Allen,,,
AStri,"[234,180,66]","234,180,66",234,180,66,EAB442,17,318,15873,15873,intermediate stratum of AStr,/15564/15565/15566/15567/15738/15739/15750/15751/15867/15868/15870/15873/,/15564/15565/15566/15567/15738/15739/15750/15751/15867/15868/15870/15873/,15870,15870,Allen,,,
AStrs,"[234,180,66]","234,180,66",234,180,66,EAB442,17,322,15877,15877,superficial stratum of AStr,/15564/15565/15566/15567/15738/15739/15750/15751/15867/15868/15870/15877/,/15564/15565/15566/15567/15738/15739/15750/15751/15867/15868/15870/15877/,15870,15870,Allen,,,
ASt,"[234,180,66]","234,180,66",234,180,66,EAB442,17,317,15872,15872,amygdalo-striatal transition,/15564/15565/15566/15567/15738/15739/15750/15751/15867/15868/15870/15871/15872/,/15564/15565/15566/15567/15738/15739/15750/15751/15867/15868/15870/15871/15872/,15871,15871,Allen,,,
CeL,"[234,180,66]","234,180,66",234,180,66,EAB442,17,319,15874,15874,"central amygdalar nucleus, lateral part",/15564/15565/15566/15567/15738/15739/15750/15751/15867/15868/15870/15873/15874/,/15564/15565/15566/15567/15738/15739/15750/15751/15867/15868/15870/15873/15874/,15873,15873,Allen,,,
CeC,"[234,180,66]","234,180,66",234,180,66,EAB442,17,320,15875,15875,"central amygdalar nucleus, capsular part",/15564/15565/15566/15567/15738/15739/15750/15751/15867/15868/15870/15873/15875/,/15564/15565/15566/15567/15738/15739/15750/15751/15867/15868/15870/15873/15875/,15873,15873,Allen,,,
IA,"[234,180,66]","234,180,66",234,180,66,EAB442,17,321,15876,15876,intercalated amygdaloid nuclei,/15564/15565/15566/15567/15738/15739/15750/15751/15867/15868/15870/15873/15876/,/15564/15565/15566/15567/15738/15739/15750/15751/15867/15868/15870/15873/15876/,15873,15873,Allen,,,
APalv,"[230,167,35]","230,167,35",230,167,35,E6A723,17,324,15879,15879,ventricular zone of APal,/15564/15565/15566/15567/15738/15739/15750/15751/15867/15878/15879/,/15564/15565/15566/15567/15738/15739/15750/15751/15867/15878/15879/,15878,15878,Allen,,,
APalm,"[234,180,66]","234,180,66",234,180,66,EAB442,17,325,15880,15880,mantle zone of APal,/15564/15565/15566/15567/15738/15739/15750/15751/15867/15878/15880/,/15564/15565/15566/15567/15738/15739/15750/15751/15867/15878/15880/,15878,15878,Allen,,,
APalp,"[234,180,66]","234,180,66",234,180,66,EAB442,17,326,15881,15881,periventricular stratum of APal,/15564/15565/15566/15567/15738/15739/15750/15751/15867/15878/15880/15881/,/15564/15565/15566/15567/15738/15739/15750/15751/15867/15878/15880/15881/,15880,15880,Allen,,,
APali,"[234,180,66]","234,180,66",234,180,66,EAB442,17,328,15883,15883,intermediate stratum of APal,/15564/15565/15566/15567/15738/15739/15750/15751/15867/15878/15880/15883/,/15564/15565/15566/15567/15738/15739/15750/15751/15867/15878/15880/15883/,15880,15880,Allen,,,
APals,"[234,180,66]","234,180,66",234,180,66,EAB442,17,330,15885,15885,superficial stratum of APal,/15564/15565/15566/15567/15738/15739/15750/15751/15867/15878/15880/15885/,/15564/15565/15566/15567/15738/15739/15750/15751/15867/15878/15880/15885/,15880,15880,Allen,,,
BSTLA,"[234,180,66]","234,180,66",234,180,66,EAB442,17,327,15882,15882,"bed nucleus of stria terminalis, lateral amygdaloid division",/15564/15565/15566/15567/15738/15739/15750/15751/15867/15878/15880/15881/15882/,/15564/15565/15566/15567/15738/15739/15750/15751/15867/15878/15880/15881/15882/,15881,15881,Allen,,,
CeM,"[234,180,66]","234,180,66",234,180,66,EAB442,17,329,15884,15884,"central amygdaloid nucleus, medial part",/15564/15565/15566/15567/15738/15739/15750/15751/15867/15878/15880/15883/15884/,/15564/15565/15566/15567/15738/15739/15750/15751/15867/15878/15880/15883/15884/,15883,15883,Allen,,,
ADgv,"[230,167,35]","230,167,35",230,167,35,E6A723,17,332,15887,15887,ventricular zone of ADg,/15564/15565/15566/15567/15738/15739/15750/15751/15867/15886/15887/,/15564/15565/15566/15567/15738/15739/15750/15751/15867/15886/15887/,15886,15886,Allen,,,
ADgm,"[234,180,66]","234,180,66",234,180,66,EAB442,17,333,15888,15888,mantle zone of ADg,/15564/15565/15566/15567/15738/15739/15750/15751/15867/15886/15888/,/15564/15565/15566/15567/15738/15739/15750/15751/15867/15886/15888/,15886,15886,Allen,,,
ADgp,"[234,180,66]","234,180,66",234,180,66,EAB442,17,334,15889,15889,periventricular stratum of ADg,/15564/15565/15566/15567/15738/15739/15750/15751/15867/15886/15888/15889/,/15564/15565/15566/15567/15738/15739/15750/15751/15867/15886/15888/15889/,15888,15888,Allen,,,
ADgi,"[234,180,66]","234,180,66",234,180,66,EAB442,17,336,15891,15891,intermediate stratum of ADg,/15564/15565/15566/15567/15738/15739/15750/15751/15867/15886/15888/15891/,/15564/15565/15566/15567/15738/15739/15750/15751/15867/15886/15888/15891/,15888,15888,Allen,,,
ADgs,"[234,180,66]","234,180,66",234,180,66,EAB442,17,337,15892,15892,superficial stratum of ADg,/15564/15565/15566/15567/15738/15739/15750/15751/15867/15886/15888/15892/,/15564/15565/15566/15567/15738/15739/15750/15751/15867/15886/15888/15892/,15888,15888,Allen,,,
BSTMA,"[234,180,66]","234,180,66",234,180,66,EAB442,17,335,15890,15890,"bed nucleus of the stria terminalis, medial amygdaloid division",/15564/15565/15566/15567/15738/15739/15750/15751/15867/15886/15888/15889/15890/,/15564/15565/15566/15567/15738/15739/15750/15751/15867/15886/15888/15889/15890/,15889,15889,Allen,,,
AHyv,"[230,167,35]","230,167,35",230,167,35,E6A723,17,339,15894,15894,ventricular zone of AHy,/15564/15565/15566/15567/15738/15739/15750/15751/15867/15893/15894/,/15564/15565/15566/15567/15738/15739/15750/15751/15867/15893/15894/,15893,15893,Allen,,,
AHym,"[234,180,66]","234,180,66",234,180,66,EAB442,17,340,15895,15895,mantle zone of AHy,/15564/15565/15566/15567/15738/15739/15750/15751/15867/15893/15895/,/15564/15565/15566/15567/15738/15739/15750/15751/15867/15893/15895/,15893,15893,Allen,,,
AHyp,"[234,180,66]","234,180,66",234,180,66,EAB442,17,341,15896,15896,periventricular stratum of AHy,/15564/15565/15566/15567/15738/15739/15750/15751/15867/15893/15895/15896/,/15564/15565/15566/15567/15738/15739/15750/15751/15867/15893/15895/15896/,15895,15895,Allen,,,
AHyi,"[234,180,66]","234,180,66",234,180,66,EAB442,17,342,15897,15897,intermediate stratum of AHy,/15564/15565/15566/15567/15738/15739/15750/15751/15867/15893/15895/15897/,/15564/15565/15566/15567/15738/15739/15750/15751/15867/15893/15895/15897/,15895,15895,Allen,,,
AHys,"[234,180,66]","234,180,66",234,180,66,EAB442,17,343,15898,15898,superficial stratum of AHy,/15564/15565/15566/15567/15738/15739/15750/15751/15867/15893/15895/15898/,/15564/15565/15566/15567/15738/15739/15750/15751/15867/15893/15895/15898/,15895,15895,Allen,,,
